___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/6/1 to 2026/6/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #148 | x1  | Bruce Springsteen/Nebraska                                                                   | 40 Minutes and 47 Seconds   |
| #149 | x1  | Asia/Asia                                                                                    | 44 Minutes and 21 Seconds   |
| #150 | x1  | Van Halen/For Unlawful Carnal Knowledge                                                      | 52 Minutes and 7 Seconds    |
| #151 | x1  | Rush/Signals                                                                                 | 42 Minutes and 52 Seconds   |
| #152 | x1  | Pink Floyd/Meddle                                                                            | 46 Minutes and 44 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

356 listens to albums in total

996493 total seconds spent listening to music, equivalent to 16608 Minutes, 276 Hours or 11 Days. That is 3.01% of the year. That is 38.44% of a month.
Press Enter to continue...
