___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/1/1 to 2026/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #134 | x1  | Motley Crue/Dr Feelgood                                                                      | 45 Minutes and 8 Seconds    |
| #135 | x1  | Janes Addiction/Nothings Shocking                                                            | 45 Minutes and 27 Seconds   |
| #136 | x1  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 35 Minutes and 2 Seconds    |
| #137 | x1  | Led Zeppelin/Led Zeppelin                                                                    | 44 Minutes and 50 Seconds   |
| #138 | x1  | Yes/Fragile                                                                                  | 41 Minutes and 10 Seconds   |
| #139 | x1  | Journey/Raised On Radio                                                                      | 44 Minutes and 43 Seconds   |
| #140 | x1  | Boston/Boston                                                                                | 37 Minutes and 40 Seconds   |
| #141 | x1  | Whitesnake/Slip Of The Tongue                                                                | 46 Minutes and 59 Seconds   |
| #142 | x1  | Rem/Up                                                                                       | 64 Minutes and 31 Seconds   |
| #143 | x1  | The Tragically Hip/Day For Night                                                             | 59 Minutes and 33 Seconds   |
| #144 | x1  | White Zombie/Make Them Die Slowly                                                            | 39 Minutes and 54 Seconds   |
| #145 | x1  | Metallica/And Justice For All                                                                | 65 Minutes and 27 Seconds   |
| #146 | x1  | Rem/Out Of Time                                                                              | 44 Minutes and 8 Seconds    |
| #147 | x1  | Green Day/Revolution Radio                                                                   | 44 Minutes and 38 Seconds   |
| #148 | x1  | John Cougar Mellencamp/Scarecrow                                                             | 41 Minutes and 8 Seconds    |
| #149 | x1  | Rush/Moving Pictures                                                                         | 40 Minutes and 8 Seconds    |
| #150 | x1  | Zz Top/Deguello                                                                              | 34 Minutes and 18 Seconds   |
| #151 | x1  | Dire Straits/Brothers In Arms                                                                | 55 Minutes and 15 Seconds   |
| #152 | x1  | Vangelis/Chariots Of Fire                                                                    | 42 Minutes and 8 Seconds    |
| #153 | x1  | Phil Collins/But Seriously                                                                   | 59 Minutes and 45 Seconds   |
| #154 | x1  | Guns N Roses/Use Your Illusion I                                                             | 76 Minutes and 4 Seconds    |
| #155 | x1  | Guns N Roses/Use Your Illusion Ii                                                            | 75 Minutes and 56 Seconds   |
| #156 | x1  | Rush/All The Worlds A Stage                                                                  | 73 Minutes and 17 Seconds   |
| #157 | x1  | Fleetwood Mac/Fleetwood Mac                                                                  | 42 Minutes and 57 Seconds   |
| #158 | x1  | Creed/Weathered                                                                              | 50 Minutes and 5 Seconds    |
| #159 | x1  | Franz Ferdinand/Franz Ferdinand                                                              | 38 Minutes and 49 Seconds   |
| #160 | x1  | The Offspring/Smash                                                                          | 46 Minutes and 44 Seconds   |
| #161 | x1  | Led Zeppelin/Led Zeppelin Ii                                                                 | 41 Minutes and 29 Seconds   |
| #162 | x1  | The Replacements/Let It Be                                                                   | 33 Minutes and 29 Seconds   |
| #163 | x1  | Three Days Grace/Outsider                                                                    | 39 Minutes and 25 Seconds   |
| #164 | x1  | Mark Knopfler/All The Roadrunning                                                            | 50 Minutes and 33 Seconds   |
| #165 | x1  | Nickelback/Silver Side Up                                                                    | 39 Minutes and 10 Seconds   |
| #166 | x1  | Coldplay/Parachutes                                                                          | 41 Minutes and 50 Seconds   |
| #167 | x1  | Jethro Tull/Aqualung                                                                         | 43 Minutes and 25 Seconds   |
| #168 | x1  | Phil Collins/Face Value                                                                      | 47 Minutes and 48 Seconds   |
| #169 | x1  | Zz Top/Eliminator                                                                            | 45 Minutes and 21 Seconds   |
| #170 | x1  | Yes/Talk                                                                                     | 55 Minutes and 1 Seconds    |
| #171 | x1  | Def Leppard/Adrenalize                                                                       | 45 Minutes and 25 Seconds   |
| #172 | x1  | Creed/Human Clay                                                                             | 60 Minutes and 27 Seconds   |
| #173 | x1  | Acdc/Highway To Hell                                                                         | 38 Minutes and 11 Seconds   |
| #174 | x1  | Supertramp/Crime Of The Century                                                              | 44 Minutes and 20 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

369 listens to albums in total

1042960 total seconds spent listening to music, equivalent to 17382 Minutes, 289 Hours or 12 Days. That is 3.29% of the year. That is 40.24% of a month.
Press Enter to continue...
