___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/2/1 to 2026/2/28                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #122 | x1  | Van Halen/Ou812                                                                              | 50 Minutes and 41 Seconds   |
| #123 | x1  | Meat Loaf/Bat Out Of Hell                                                                    | 46 Minutes and 35 Seconds   |
| #124 | x1  | Alice In Chains/Sap                                                                          | 20 Minutes and 52 Seconds   |
| #125 | x1  | Acdc/Let There Be Rock                                                                       | 40 Minutes and 53 Seconds   |
| #126 | x1  | Genesis/Calling All Stations                                                                 | 67 Minutes and 59 Seconds   |
| #127 | x1  | Genesis/Duke                                                                                 | 55 Minutes and 6 Seconds    |
| #128 | x1  | Hammerbox/Numb                                                                               | 42 Minutes and 5 Seconds    |
| #129 | x1  | The Tragically Hip/Road Apples                                                               | 49 Minutes and 13 Seconds   |
| #130 | x1  | Semisonic/Feeling Strangely Fine                                                             | 50 Minutes and 35 Seconds   |
| #131 | x1  | Tonight Alive/The Other Side                                                                 | 39 Minutes and 57 Seconds   |
| #132 | x1  | Story Of The Year/Page Avenue                                                                | 41 Minutes and 54 Seconds   |
| #133 | x1  | Supertramp/Crime Of The Century                                                              | 44 Minutes and 20 Seconds   |
| #134 | x1  | Staind/Break The Cycle                                                                       | 55 Minutes and 31 Seconds   |
| #135 | x1  | Mad Season/Above                                                                             | 55 Minutes and 40 Seconds   |
| #136 | x1  | Creed/My Own Prison                                                                          | 49 Minutes and 10 Seconds   |
| #137 | x1  | Rush/Roll The Bones                                                                          | 48 Minutes and 4 Seconds    |
| #138 | x1  | Dire Straits/Communique                                                                      | 41 Minutes and 59 Seconds   |
| #139 | x1  | Dire Straits/Love Over Gold                                                                  | 41 Minutes and 7 Seconds    |
| #140 | x1  | Dire Straits/On Every Street                                                                 | 60 Minutes and 21 Seconds   |
| #141 | x1  | The Clash/London Calling                                                                     | 65 Minutes and 7 Seconds    |
| #142 | x1  | Donots/Got The Noise                                                                         | 41 Minutes and 33 Seconds   |
| #143 | x1  | Portishead/Portishead                                                                        | 50 Minutes and 34 Seconds   |
| #144 | x1  | Rammstein/Herzeleid                                                                          | 49 Minutes and 33 Seconds   |
| #145 | x1  | Phil Collins/Face Value                                                                      | 47 Minutes and 48 Seconds   |
| #146 | x1  | Green Day/Revolution Radio                                                                   | 44 Minutes and 38 Seconds   |
| #147 | x1  | Led Zeppelin/In Through The Out Door                                                         | 42 Minutes and 33 Seconds   |
| #148 | x1  | The Smashing Pumpkins/Mellon Collie And The Infinite Sadness                                 | 121 Minutes and 51 Seconds  |
| #149 | x1  | The Smashing Pumpkins/Gish                                                                   | 46 Minutes and 20 Seconds   |
| #150 | x1  | Pink Floyd/Atom Heart Mother                                                                 | 52 Minutes and 6 Seconds    |
